id,name,category,item,price,img_s1,img_s2,img_s3,img_s4,img_s5,img_m,created_at,updated_at,valid,description
1,【特選黑羽雞翅】汝拉箭6枚1913年 (5),2,3,8000,A04s10001.jpeg,A04s20001.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
2,【特選黑羽雞翅】汝拉箭6枚1913年 (8),2,3,8000,A04s10002.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
3,【特選黑羽雞翅】汝拉箭 6枚 1913 (10),2,3,8000,A04s10003.jpeg,A04s20003.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
4,【特選黑羽雞翅】汝拉箭 6枚 1913 (14),2,3,8000,A04s10004.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
5,【特選黑羽雞翅】汝拉箭 6枚 1913 (17),2,3,8000,A04s10005.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10005.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
6,[特選黑羽雞翅] Jura Arrow 6枚 2014年 (9),2,3,8000,A04s10006.jpeg,A04s20006.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10006.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
7,[特選黑羽雞翅] Jura Arrow 6枚 2014 (12),2,3,8000,A04s10007.jpeg,A04s20007.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10007.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
8,[特選黑羽雞翅] Jura Arrow 6枚 2015 (1),2,3,8000,A04s10008.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10008.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
9,[特選黑羽雞翅] Jura Arrow 6枚 2015 (11),2,3,8000,A04s10009.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10009.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
10,[特選黑羽雞翅] Jura Arrow 6枚 2015 (16),2,3,8000,A04s10010.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10010.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
11,[特選黑羽雞翅] Jura Arrow 6枚 2015 (18),2,3,8000,A04s10011.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10011.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
12,【特選黑羽大葉】汝拉箭 6 支 1913 (2),2,3,9500,A04s10012.jpeg,A04s20012.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10012.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色羽毛（尾羽），採用廣受歡迎的 Easton 硬鋁箭桿。尾羽比雞翅更堅固、更耐用。
13,【特選黑羽大葉】汝拉箭 6 支 1913 (4),2,3,9500,A04s10013.jpeg,A04s20013.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10013.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色羽毛（尾羽），採用廣受歡迎的 Easton 硬鋁箭桿。尾羽比雞翅更堅固、更耐用。
14,【特選黑羽葉】汝拉箭 6 支 1913 (5),2,3,9500,A04s10014.jpeg,A04s20014.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10014.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色羽毛（尾羽），採用廣受歡迎的 Easton 硬鋁箭桿。尾羽比雞翅更堅固、更耐用。
15,Enteki 碳箭 6 支 KC Mugibutsu-7518 Goosenata 羽毛 (1),2,4,15000,A04s10015.jpeg,A04s20015.jpeg,A04s30015.jpeg,arrow-info1.png,arrow-info2.png,A04s10015.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"獨特的形狀可快速有效地抑制振動，實現比現有箭桿更平穩、更長的飛行。它的桿身不僅在遠距離比賽中而且在近距離比賽中都表現出高性能。此外，令人想起竹箭的美麗表面處理還具有耐磨損、不易剝落的優點。
*雖然它繼承了Mugitsubusan中心粗、兩端細的特點，但為了更容易安裝hazu和箭頭並平衡中心，它與原始Mugitsubusu的形狀並不完全相同重力向前。
*由於箭桿的形狀，如果箭頭長度為 90 厘米或更短，箭頭可能會容易脫落。"
16,Enteki 碳箭 6 支 KC Mugibutsu-7016 Goosenata 羽毛 (1),2,4,15000,A04s10016.jpeg,A04s20016.jpeg,A04s30016.jpeg,arrow-info1.png,arrow-info2.png,A04s10016.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"獨特的形狀可快速有效地抑制振動，實現比現有箭桿更平穩、更長的飛行。它的桿身不僅在遠距離比賽中而且在近距離比賽中都表現出高性能。此外，令人想起竹箭的美麗表面處理還具有耐磨損、不易剝落的優點。
*雖然它繼承了Mugitsubusan中心粗、兩端細的特點，但為了更容易安裝hazu和箭頭並平衡中心，它與原始Mugitsubusu的形狀並不完全相同重力向前。
*由於箭桿的形狀，如果箭頭長度為 90 厘米或更短，箭頭可能會容易脫落。"
17,Enteki 碳箭 6 支 KC Mugibutsu-7016 Goosenata 羽毛 (2),2,4,15000,A04s10017.jpeg,A04s20017.jpeg,A04s30017.jpeg,arrow-info1.png,arrow-info2.png,A04s10017.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"獨特的形狀可快速有效地抑制振動，實現比現有箭桿更平穩、更長的飛行。它的桿身不僅在遠距離比賽中而且在近距離比賽中都表現出高性能。此外，令人想起竹箭的美麗表面處理還具有耐磨損、不易剝落的優點。
*雖然它繼承了Mugitsubusan中心粗、兩端細的特點，但為了更容易安裝hazu和箭頭並平衡中心，它與原始Mugitsubusu的形狀並不完全相同重力向前。
*由於箭桿的形狀，如果箭頭長度為 90 厘米或更短，箭頭可能會容易脫落。"
18,Enteki 碳箭 6 支 KC Mugibutsu-7016 Goosenata 羽毛 (3),2,4,15000,A04s10018.jpeg,A04s20018.jpeg,A04s20018.jpeg,arrow-info1.png,arrow-info2.png,A04s10018.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"獨特的形狀可快速有效地抑制振動，實現比現有箭桿更平穩、更長的飛行。它的桿身不僅在遠距離比賽中而且在近距離比賽中都表現出高性能。此外，令人想起竹箭的美麗表面處理還具有耐磨損、不易剝落的優點。
*雖然它繼承了Mugitsubusan中心粗、兩端細的特點，但為了更容易安裝hazu和箭頭並平衡中心，它與原始Mugitsubusu的形狀並不完全相同重力向前。
*由於箭桿的形狀，如果箭頭長度為 90 厘米或更短，箭頭可能會容易脫落。"
19,Enteki 碳箭 6 支 KC Mugibutsu-7016 Goosenata 羽毛 (5),2,4,15000,A04s10019.jpeg,A04s20019.jpeg,A04s30019.jpeg,arrow-info1.png,arrow-info2.png,A04s10019.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"獨特的形狀可快速有效地抑制振動，實現比現有箭桿更平穩、更長的飛行。它的桿身不僅在遠距離比賽中而且在近距離比賽中都表現出高性能。此外，令人想起竹箭的美麗表面處理還具有耐磨損、不易剝落的優點。
*雖然它繼承了Mugitsubusan中心粗、兩端細的特點，但為了更容易安裝hazu和箭頭並平衡中心，它與原始Mugitsubusu的形狀並不完全相同重力向前。
*由於箭桿的形狀，如果箭頭長度為 90 厘米或更短，箭頭可能會容易脫落。"
20,碳箭 6 件 Takumi 7517 黑翼 (2),2,4,9000,A04s10020.jpeg,A04s10020.jpeg,A04s10020.jpeg,arrow-info1.png,arrow-info2.png,A04s10020.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"是2019年10月新推出的碳桿身。
・提高直線度精度、減少重量偏差的競賽用軸。
・由於安土而具有耐磨性，並且減少了油漆剝落和褪色。
・可處理長箭束（7517：最大長度110cm，8022：最大長度113cm）。
・顏色為啞光黑色。
・軸形狀一個字母一文字（從一端到另一端的厚度相同）。
・實張野場ri（桿身的彎曲程度）有點硬。指南：Mizuno SST < Takumi < KC，
Easton Wood Carbon 7620 和 8023 合適。
・箭頭方面，7517適合Jura 1913（需要咬麻），8022適合Jura 2014。
・可以安裝刀片。
從初學者到國家級玩家，很多人都可以使用。
*此箭頭應該用於 WENEW7518。"
21,非常,3,5,450,S05s10001.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,"它讀作“kiwami”。這是我們原創的琴弦，我們
通過精心挑選的材料和精心的製作方法完成了最優質的琴弦。
弦輪底座採用麻，減輕了弓的負擔，發出清晰的弦音。"
22,正弦,3,5,135,S05s10002.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,柔軟的美津濃琴弦。
23,惠比壽(黑),3,5,200,S05s10003.jpeg,S05s20003.jpeg,string-info2.png,string-info3.png,string-info4.png,S05s10003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是我們的原創，讀作“Ebisu”。繩子相對有彈性並且難以切斷。
24,惠比壽(紅),3,5,200,S05s10004.jpeg,S05s20004.jpeg,string-info2.png,string-info3.png,string-info4.png,S05s10004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是我們的原創，讀作“Ebisu”。繩子相對有彈性並且難以切斷。
25,千弦,3,5,130,S05s10005.jpeg,S05s20005.jpeg,S05s30005.jpeg,string-info3.png,string-info4.png,S05s10005.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這款令人難忘的琴弦首次使用了“超纖維（凱夫拉縴維）”，並以其出色的琴弦聲音而享有盛譽。
26,青蛙繩,3,5,200,S05s10006.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10006.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,首次使用 Zylon 纖維的令人難忘的琴弦。具有煮麻弦的質感、良好的琴弦聲音、耐用性以及Yadokoro的穩定性。
27,弓神,3,5,200,S05s10007.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10007.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,使用芳綸纖維。這是一種不易拉伸且箭飛行性能良好的弦。它柔軟且易於製作弦環。適合初學者到中級水平。獨特的口號也很熟悉。沒有具體說明公里數。
28,飛天,3,5,200,S05s10008.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10008.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,弦由芳綸纖維製成，不易拉伸，箭飛行和弦音良好。它適合初學者到中級水平。藍天上飛翔的燕子群也令人印象深刻。沒有具體說明公里數。
29,金龍,3,5,115,S05s10009.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10009.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,誕生於對曾經風靡世界的龍名琴弦的懷念之聲中的琴弦。可以選擇粗細，受到很多弓道練習者的喜愛。（凱夫拉縴維）
30,銀龍,3,5,155,S05s10010.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10010.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,它的質地類似於麻繩，是為了箭飛行時的柔軟性和穩定性而生產的
31,崛起的龍,3,5,200,S05s10011.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10011.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是考慮到箭的良好飛行性和耐用性而製造的弦。（Zylon纖維）
32,餘一弦,3,5,140,S05s10012.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10012.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一根有別於傳統生產方法的充滿信心的琴弦，從琴弦的扭轉方式到成品都注重細節。（凱夫拉縴維）
33,真,3,6,200,S05s10013.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10013.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,製作弦環很容易，而且是比較軟的弦。它可以防止弦伸長並實現耐用性和箭頭穩定性。
34,真正,3,6,240,S05s10014.jpeg,S05s20014.jpeg,S05s30014.jpeg,S05s40014.jpeg,S05s50014.jpeg,S05s10014.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,製作弦環很容易，而且是比較軟的弦。它可以防止弦伸長並實現耐用性和箭頭穩定性。與現有的“Shin”相比，弦環經過了不粘和防滑處理，使其成為適合弓的弦。
35,Shin Premium Hard,3,6,250,S05s10015.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10015.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,製作弦環很容易，而且是比較軟的弦。它可以防止弦伸長並實現耐用性和箭頭穩定性。與現有的“Shin”相比，弦環經過了不粘和防滑處理，使其成為適合弓的弦。
36,日之國淺水,3,6,250,S05s10016.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10016.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,一根一根地用楠線完成，是一根較硬、比較難拉伸的線。
37,日之國淺水的單獨作品,3,6,275,S05s10017.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10017.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這些琴弦以 Hinokuni 琴弦為基礎，設計用於與竹弓配合使用。其特點是下弦輪的尺寸與竹弓原來的尺寸相匹配。
38,飛弦,3,6,355,S05s10018.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10018.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,該琴弦比其姊妹產品 Tenkyu 琴弦具有更柔軟的拉力。
39,天上的弓弦,3,6,350,S05s10019.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10019.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,它採用三重強度的芳綸纖維（Zylon 線），並以尖銳的琴弦聲音而聞名。我們收到了諸如“提高箭速”和“持久”等評論。
40,綠天久,3,6,650,S05s10020.jpeg,string-info1.png,string-info2.png,string-info3.png,string-info4.png,S05s10020.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,具有靈活、易於打結且不易鬆開的繩環。弦環底座採用優質麻布，對弓的負擔輕，不僅可以與竹弓配合使用，還可以與碳弓、玻璃弓配合使用，具有出色的兼容性，是一款終極弓弦。和穩定性。
41,全年用內衣 白/深青色 合成纖維 S~L單一尺碼【男女通用】,4,8,1000,U08s10001.jpeg,U08s20001.jpeg,U08s30001.jpeg,U08s40001.jpeg,U08s50001.jpeg,U08m0001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,輕質內衣，適合全年使用，具有彈性的聚脂纖維混棉編織不會對您的手臂和肩膀活動友人和阻礙；提供白色/深青色依您喜好進行挑選
42,全年用內衣 白/黑色 合成纖維 2L【男女通用】,4,8,1200,U08s10001.jpeg,U08s20001.jpeg,U08s30001.jpeg,U08s40001.jpeg,U08s50002.jpeg,U08m0002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,輕質內衣，適合全年使用，具有彈性的聚脂纖維混棉編織不會對您的手臂和肩膀活動友人和阻礙；提供白色/黑色依您喜好進行挑選
43,全年用內衣 白/黑色 合成纖維 L【男女通用】,4,8,1400,U08s10001.jpeg,U08s20001.jpeg,U08s30001.jpeg,U08s40001.jpeg,U08s50002.jpeg,U08m0003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,輕質內衣，適合全年使用，具有彈性的聚脂纖維混棉編織不會對您的手臂和肩膀活動友人和阻礙；白色/黑色依您喜好進行挑選
44,冬季用內衣 白色 純棉 S~L單一尺碼【男女通用】,4,8,2000,U08s10004.jpeg,U08s20004.jpeg,U08s30004.jpeg,U08s40004.jpeg,U08s5004.jpeg,U08m0004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,保暖內裡，適合冬季使用。百分之百純棉製作，並在內襯進行拉絨處理，即使在寒冷的冬天也能進行自在的活動
45,冬季用內衣 白色 純棉 2L~3L單一尺碼【男女通用】,4,8,2300,U08s10004.jpeg,U08s20004.jpeg,U08s30004.jpeg,U08s40004.jpeg,U08s5004.jpeg,U08m0005.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,保暖內裡，適合冬季使用。百分之百純棉製作，並在內襯進行拉絨處理，即使在寒冷的冬天也能進行自在的活動
46,胸甲 水洗布,4,9,250,U09s10001.jpeg,U09s20001.jpeg,U09s30001.jpeg,U09s40001.jpeg,bra-info-1.jpeg,U09m0001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,穿著後可避免弓弦直接摩擦您的身體造成受傷，由水洗布製成，方便清潔，並配有可調式鬆緊帶適應各式身形。
47,胸甲 合成皮革,4,9,200,U09s10002.jpeg,U09s20002.jpeg,bra-info-3.jpeg,bra-info-2.jpeg,bra-info-1.jpeg,U09m0002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,穿著後可避免弓弦直接摩擦您的身體造成受傷，經典的皮革材質永遠不會過時。
48,胸甲 透氣網布,4,9,250,U09s10003.jpeg,U09s20003.jpeg,U09s30003.jpeg,bra-info-2.jpeg,bra-info-1.jpeg,U09m0003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,穿著後可避免弓弦直接摩擦您的身體造成受傷，網布材質擁有絕佳的透氣性及舒適性。
49,弓道和服 深青/黑色 S~L單一尺碼【女用】,4,10,3700,U10s10001.jpeg,U10s20001.jpeg,U10s30001.jpeg,U10s40001.jpeg,U10s50001.jpeg,U10m0001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,單一尺碼適合S至L的各種身形。，舒適貼合各式身形。有深青色與黑色兩色供您挑選。
50,弓道和服 黑色 S~L單一尺碼【男用】,4,10,3700,U1s10002.jpeg,U10s20002.jpeg,U10s30002.jpeg,U10s40002.jpeg,shirt-info-1.jpeg,U10m0002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,單一尺碼適合S至L的各種身形。，舒適貼合各式身形，黑色展現出典雅與力量的結合。
51,夏季 紡紗和服 四色 S~L單一尺碼【女用】,4,10,7800,U10s10003.jpeg,U10s20003.jpeg,U10s30003.jpeg,U10s40003.jpeg,shirt-info-1.jpeg,U10s10003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,以紡紗材質製成，輕盈透氣，在炎熱的夏季也能保持涼爽，展現出優雅的姿態。提供四種色彩選擇，單一尺碼適合S至L的各種身形。
52,夏季 純絲和服 深青/黑色 S~L單一尺碼【男用】,4,10,7800,U10s10004.jpeg,U10s20004.jpeg,U10s30004.jpeg,U10s40004.jpeg,shirt-info-1.jpeg,U10m0004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,以純絲編織製成，質感輕盈，在炎熱的夏季也能保持涼爽。提供深青/黑色彩選擇，單一尺碼適合S至L的各種身形。
53,五色 竹葉紋高級腰帶【女用】,4,11,1700,U11s10003.jpeg,U11s20003.jpeg,U11s30003.jpeg,U11s40003.jpeg,U11s50003.jpeg,U11m0003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,帶有竹葉紋路編織而成的精緻腰帶，融合了日式的雅致之美，展現出細膩的手工藝與優雅的設計。
54,五色 龍紋高級腰帶 【男用】,4,11,1800,U11s10004.jpeg,U11s20004.jpeg,U11s30004.jpeg,U11s40004.jpeg,U11s50004.jpeg,U11m0004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,專為弓道服設計的龍紋腰帶，其彈性材質確保舒適度，讓你在活動中自如行動。精心打造的龍紋圖案凸顯你的個性與活力
